caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
17798,73.2,3,10,Female,Separated,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
17799,71.3,1,10,Female,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
17800,75.4,1,8,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17801,74.9,3,9,Male,Widowed,Less than high school diploma or its equivalent,Excellent,"$25,000 to $49,999",Valid skip
17802,37.8,4,9,Female,Married,University certificate or diploma below the bachelor's level,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
17803,57.9,3,8,Female,Living common-law,Less than high school diploma or its equivalent,Very good,"Less than $25,000",0.1 to 29.9 hours
17804,55.4,2,0,Female,Separated,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
17805,35.5,0,7,Female,Living common-law,High school diploma or a high school equivalency certificate,Fair,"$25,000 to $49,999",30.0 to 40.0 hours
17806,67.3,3,9,Female,Living common-law,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
17807,48.8,1,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17808,41.2,4,10,Male,Living common-law,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",50.1 hours and more
17809,37.6,0,8,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",30.0 to 40.0 hours
17810,59.5,4,8,Male,Divorced,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",Valid skip
17811,55.3,2,7,Male,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
17812,46.1,2,8,Male,Married,Less than high school diploma or its equivalent,Excellent,"$50,000 to $74,999",50.1 hours and more
17813,39.8,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",40.1 to 50.0 hours
17814,58,2,9,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17815,48.2,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
17816,24.6,0,9,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17817,51,1,6,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17818,37.3,0,7,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17819,39,2,6,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",Valid skip
17820,15.7,0,8,Female,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
17821,31,0,10,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
17822,57.7,0,6,Male,"Single, never married",Trade certificate or diploma,Good,"$25,000 to $49,999",40.1 to 50.0 hours
17823,53,3,10,Male,Married,Trade certificate or diploma,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17824,55.4,0,9,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
17825,34.5,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17826,39.5,2,9,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17827,28,0,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17828,61.6,3,9,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
17829,71.2,3,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
17830,71.8,3,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
17831,32.8,0,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17832,70.5,0,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",0.1 to 29.9 hours
17833,68.3,2,10,Female,Divorced,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
17834,51.3,2,7,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17835,23.4,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",0.1 to 29.9 hours
17836,18.3,0,7,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",0.1 to 29.9 hours
17837,49.1,2,10,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"$125,000 and more",0.1 to 29.9 hours
17838,45.4,3,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",40.1 to 50.0 hours
17839,58.6,2,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",30.0 to 40.0 hours
17840,61.1,2,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17841,54.2,3,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17842,73.6,3,9,Female,Married,Trade certificate or diploma,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
17843,73,3,8,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17844,64.5,1,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17845,54.7,2,8,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
17846,79.2,2,10,Male,Married,Trade certificate or diploma,Very good,"$25,000 to $49,999",Valid skip
17847,44.6,3,8,Female,Married,Trade certificate or diploma,Good,"$25,000 to $49,999",50.1 hours and more
17848,39.7,1,9,Female,Married,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",0.1 to 29.9 hours
17849,34,3,8,Male,Living common-law,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",40.1 to 50.0 hours
17850,48.4,3,9,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17851,68.2,5,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17852,67.2,2,5,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
17853,23.6,0,10,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",0.1 to 29.9 hours
17854,27.9,0,9,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",50.1 hours and more
17855,15.8,0,9,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",Valid skip
17856,36.8,1,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",30.0 to 40.0 hours
17857,77.8,4,8,Male,Widowed,Less than high school diploma or its equivalent,Excellent,"Less than $25,000",Valid skip
17858,56,0,7,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$50,000 to $74,999",30.0 to 40.0 hours
17859,61.5,0,8,Female,Married,High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
17860,64.8,0,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",30.0 to 40.0 hours
17861,30.3,1,6,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",Valid skip
17862,56.8,0,8,Male,Married,High school diploma or a high school equivalency certificate,Good,"$75,000 to $99,999",30.0 to 40.0 hours
17863,50.8,0,9,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17864,70.5,2,8,Female,Divorced,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",0.1 to 29.9 hours
17865,29,0,7,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",30.0 to 40.0 hours
17866,64.8,2,4,Male,Living common-law,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
17867,37.3,3,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
17868,70.5,1,5,Male,Divorced,Trade certificate or diploma,Very good,"Less than $25,000",Valid skip
17869,73.3,0,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
17870,37.3,2,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17871,66.3,0,7,Female,Divorced,"University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17872,37.3,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
17873,50.3,3,7,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",40.1 to 50.0 hours
17874,33.9,3,6,Female,Separated,"College, CEGEP or other non-university certificate or di...",Fair,"$50,000 to $74,999",30.0 to 40.0 hours
17875,61.2,2,7,Female,Divorced,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
17876,61.1,1,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
17877,80,4,10,Female,Widowed,University certificate or diploma below the bachelor's level,Excellent,"$25,000 to $49,999",Valid skip
17878,16.6,0,7,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
17879,45.2,0,5,Male,"Single, never married","University certificate, diploma or degree above the bach...",Good,"Less than $25,000",40.1 to 50.0 hours
17880,79,3,NA,Female,Divorced,"NA",Excellent,"Less than $25,000",Valid skip
17881,52.1,3,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17882,50.3,0,9,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17883,40.4,0,7,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",30.0 to 40.0 hours
17884,80,2,8,Female,Widowed,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
17885,73.1,2,7,Male,Separated,"University certificate, diploma or degree above the bach...",Good,"$125,000 and more",30.0 to 40.0 hours
17886,20.1,0,7,Female,"Single, never married",Less than high school diploma or its equivalent,Poor,"Less than $25,000",30.0 to 40.0 hours
17887,29.6,1,8,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17888,71.3,4,10,Female,Married,Trade certificate or diploma,Excellent,"Less than $25,000",0.1 to 29.9 hours
17889,72.9,3,10,Female,Married,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
17890,74.4,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
17891,65.4,4,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
17892,64.9,2,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",40.1 to 50.0 hours
17893,17.6,0,8,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"Less than $25,000",30.0 to 40.0 hours
17894,41.8,4,10,Male,Living common-law,University certificate or diploma below the bachelor's level,Poor,"$100,000 to $ 124,999",0.1 to 29.9 hours
17895,53.3,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
17896,80,0,9,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
17897,58.3,3,8,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Fair,"Less than $25,000",50.1 hours and more
17898,59.2,0,6,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",40.1 to 50.0 hours
17899,67.3,2,7,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",Valid skip
17900,60.6,3,10,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$125,000 and more",40.1 to 50.0 hours
17901,31.6,2,10,Male,Living common-law,"University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17902,74.9,1,6,Female,Divorced,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17903,49.8,0,7,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17904,33.7,1,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$125,000 and more",40.1 to 50.0 hours
17905,71,1,9,Female,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",Valid skip
17906,61.1,3,7,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
17907,57.6,4,5,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Fair,"Less than $25,000",Valid skip
17908,16,0,10,Male,"Single, never married",University certificate or diploma below the bachelor's level,Good,"Less than $25,000",30.0 to 40.0 hours
17909,33.8,0,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17910,71.2,1,6,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
17911,45.5,2,8,Male,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"$50,000 to $74,999",30.0 to 40.0 hours
17912,58.3,1,7,Female,"Single, never married",University certificate or diploma below the bachelor's level,Fair,"$50,000 to $74,999",30.0 to 40.0 hours
17913,74.6,2,5,Female,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
17914,68.8,2,9,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$125,000 and more",0.1 to 29.9 hours
17915,38.9,0,8,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17916,66.3,2,8,Male,Married,High school diploma or a high school equivalency certificate,Very good,"$100,000 to $ 124,999",50.1 hours and more
17917,66.3,2,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",Valid skip
17918,21.1,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17919,51.3,2,9,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",Valid skip
17920,44.4,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",30.0 to 40.0 hours
17921,77.3,6,10,Female,Widowed,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
17922,80,3,7,Female,Widowed,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",Valid skip
17923,76.3,2,8,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17924,57.2,2,10,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$75,000 to $99,999",30.0 to 40.0 hours
17925,25.5,0,6,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17926,47.8,3,9,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",40.1 to 50.0 hours
17927,80,7,9,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
17928,60.5,7,9,Male,Separated,"College, CEGEP or other non-university certificate or di...",Good,"$100,000 to $ 124,999",30.0 to 40.0 hours
17929,61.6,2,8,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$25,000 to $49,999",0.1 to 29.9 hours
17930,63.4,2,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$125,000 and more",0.1 to 29.9 hours
17931,43.5,0,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$100,000 to $ 124,999",40.1 to 50.0 hours
17932,52.3,1,8,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$100,000 to $ 124,999",30.0 to 40.0 hours
17933,18.8,0,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17934,43.5,5,9,Male,Living common-law,Trade certificate or diploma,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
17935,80,4,8,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",Valid skip
17936,66.2,0,7,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"Less than $25,000",0.1 to 29.9 hours
17937,40.8,2,8,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17938,50.7,1,9,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$25,000 to $49,999",0.1 to 29.9 hours
17939,70.3,3,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",Valid skip
17940,50.7,1,8,Male,Living common-law,"NA",Good,"$50,000 to $74,999",30.0 to 40.0 hours
17941,63.2,0,8,Male,"Single, never married",Trade certificate or diploma,Very good,"$125,000 and more",40.1 to 50.0 hours
17942,56.7,2,9,Male,Married,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",30.0 to 40.0 hours
17943,77.5,5,8,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17944,32.9,0,7,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Fair,"$25,000 to $49,999",30.0 to 40.0 hours
17945,72.5,2,10,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",50.1 hours and more
17946,64.3,3,7,Male,Divorced,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",0.1 to 29.9 hours
17947,63.5,3,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17948,18.5,0,8,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",30.0 to 40.0 hours
17949,30.8,0,7,Male,Living common-law,Trade certificate or diploma,Good,"$50,000 to $74,999",40.1 to 50.0 hours
17950,80,5,7,Female,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
17951,39,1,8,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17952,77.2,5,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",Valid skip
17953,25.7,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17954,54.3,0,8,Male,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17955,64.2,0,10,Female,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",Valid skip
17956,59.6,1,9,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17957,51.3,0,10,Female,Married,Trade certificate or diploma,Very good,"$100,000 to $ 124,999",40.1 to 50.0 hours
17958,28.3,1,10,Female,"Single, never married",Less than high school diploma or its equivalent,Excellent,"Less than $25,000",30.0 to 40.0 hours
17959,27.8,0,8,Male,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17960,80,0,8,Male,Married,Trade certificate or diploma,Good,"$25,000 to $49,999",Valid skip
17961,69.9,2,9,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17962,45.5,3,10,Male,Married,High school diploma or a high school equivalency certificate,Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
17963,55.3,2,10,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
17964,58.7,2,8,Female,Married,University certificate or diploma below the bachelor's level,Very good,"$25,000 to $49,999",Valid skip
17965,55.5,2,9,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17966,41.2,0,9,Male,Living common-law,High school diploma or a high school equivalency certificate,Excellent,"$100,000 to $ 124,999",50.1 hours and more
17967,45.1,2,6,Female,Married,"College, CEGEP or other non-university certificate or di...","NA","Less than $25,000",Valid skip
17968,25.8,0,8,Male,"Single, never married",Trade certificate or diploma,Very good,"$50,000 to $74,999",40.1 to 50.0 hours
17969,78.3,3,7,Male,Married,"College, CEGEP or other non-university certificate or di...",Fair,"$50,000 to $74,999",Valid skip
17970,41.5,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"$25,000 to $49,999",30.0 to 40.0 hours
17971,80,3,10,Female,Married,University certificate or diploma below the bachelor's level,Very good,"$50,000 to $74,999",Valid skip
17972,36.1,4,8,Female,Married,High school diploma or a high school equivalency certificate,Good,"Less than $25,000",Valid skip
17973,67.1,2,10,Male,Divorced,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
17974,68.3,2,7,Female,Widowed,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17975,79.9,5,10,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
17976,49.3,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
17977,70.2,2,8,Male,Married,Less than high school diploma or its equivalent,Very good,"Less than $25,000",Refusal
17978,44.9,3,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",0.1 to 29.9 hours
17979,30.6,0,9,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
17980,55.8,3,8,Female,Widowed,"University certificate, diploma or degree above the bach...",Very good,"$125,000 and more",30.0 to 40.0 hours
17981,44.9,2,7,Female,"Single, never married",Trade certificate or diploma,Good,"$25,000 to $49,999",0.1 to 29.9 hours
17982,54.4,2,8,Female,Married,"College, CEGEP or other non-university certificate or di...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
17983,78.3,2,8,Female,Divorced,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
17984,22.9,0,7,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Very good,"Less than $25,000",30.0 to 40.0 hours
17985,36.1,2,8,Male,Married,Trade certificate or diploma,Good,"$100,000 to $ 124,999",50.1 hours and more
17986,60.3,0,10,Female,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",0.1 to 29.9 hours
17987,73.3,2,8,Male,Married,Less than high school diploma or its equivalent,Fair,"Less than $25,000",Valid skip
17988,42.2,2,10,Female,Divorced,"College, CEGEP or other non-university certificate or di...",Good,"Less than $25,000",30.0 to 40.0 hours
17989,78.8,1,7,Female,Divorced,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
17990,52.3,2,8,Male,Married,"University certificate, diploma or degree above the bach...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
17991,62.5,2,10,Male,Married,"University certificate, diploma or degree above the bach...",Excellent,"$50,000 to $74,999",50.1 hours and more
17992,69,2,10,Male,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",Valid skip
17993,80,5,8,Male,Married,Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",Valid skip
17994,63.8,3,9,Female,Divorced,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$75,000 to $99,999",0.1 to 29.9 hours
17995,73.9,0,7,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
17996,63.5,2,8,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",30.0 to 40.0 hours
17997,64.4,2,9,Female,Married,"NA",Very good,"$25,000 to $49,999",Valid skip
17998,47.1,2,10,Female,Married,"NA",Good,"Less than $25,000",Valid skip
17999,43.2,4,8,Male,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
18000,27.9,0,8,Male,"Single, never married","University certificate, diploma or degree above the bach...",Very good,"Less than $25,000",Valid skip
18001,42.8,1,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$50,000 to $74,999",0.1 to 29.9 hours
18002,62,3,8,Male,Living common-law,Less than high school diploma or its equivalent,Very good,"$50,000 to $74,999",0.1 to 29.9 hours
18003,30.1,1,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Good,"$75,000 to $99,999",30.0 to 40.0 hours
18004,21.9,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",0.1 to 29.9 hours
18005,18.5,0,8,Female,"Single, never married",High school diploma or a high school equivalency certificate,Good,"Less than $25,000",30.0 to 40.0 hours
18006,37.3,1,6,Female,"Single, never married",High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",30.0 to 40.0 hours
18007,38.3,2,9,Male,Living common-law,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"$50,000 to $74,999",30.0 to 40.0 hours
18008,80,4,8,Female,Widowed,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
18009,29.3,2,6,Female,Married,High school diploma or a high school equivalency certificate,Fair,"$25,000 to $49,999",30.0 to 40.0 hours
18010,38.1,2,7,Male,"Single, never married",Less than high school diploma or its equivalent,Very good,"$25,000 to $49,999",0.1 to 29.9 hours
18011,41.4,0,4,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Excellent,"Less than $25,000",0.1 to 29.9 hours
18012,27.3,0,8,Female,Living common-law,"College, CEGEP or other non-university certificate or di...",Fair,"$25,000 to $49,999",50.1 hours and more
18013,70.3,3,8,Female,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
18014,23.7,6,8,Female,"Single, never married",Less than high school diploma or its equivalent,Fair,"$25,000 to $49,999",0.1 to 29.9 hours
18015,61.2,3,5,Female,Married,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",30.0 to 40.0 hours
18016,67.8,2,5,Male,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Poor,"$25,000 to $49,999",Valid skip
18017,63.8,7,8,Male,Married,Less than high school diploma or its equivalent,Good,"Less than $25,000",Valid skip
18018,20.3,0,9,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"Less than $25,000",Valid skip
18019,44.7,2,9,Male,Living common-law,"College, CEGEP or other non-university certificate or di...",Excellent,"Less than $25,000",50.1 hours and more
