caseid,age,total_children,felling_live,gender,marital_status,education,self_rated_mental_health,income_respondent,average_hours_worked
10592,51.8,1,8,Male,Married,"University certificate, diploma or degree above the bach...",Good,"$125,000 and more",30.0 to 40.0 hours
10593,15.3,0,7,Female,"Single, never married",Less than high school diploma or its equivalent,Good,"Less than $25,000",0.1 to 29.9 hours
10594,30.8,2,10,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$25,000 to $49,999",30.0 to 40.0 hours
10595,66.8,2,10,Female,Married,High school diploma or a high school equivalency certificate,Very good,"Less than $25,000",Valid skip
10596,34.9,1,9,Male,Married,"University certificate, diploma or degree above the bach...",Good,"$25,000 to $49,999",30.0 to 40.0 hours
10597,49.8,2,10,Female,Married,"College, CEGEP or other non-university certificate or di...",Excellent,"$75,000 to $99,999",30.0 to 40.0 hours
10598,31,0,6,Female,"Single, never married",Trade certificate or diploma,Good,"Less than $25,000",Valid skip
10599,80,0,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Good,"$25,000 to $49,999",Valid skip
10600,29.7,0,8,Female,"Single, never married","College, CEGEP or other non-university certificate or di...",Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10601,34.6,0,6,Male,"Single, never married","University certificate, diploma or degree above the bach...",Good,"$100,000 to $ 124,999",50.1 hours and more
10602,56.8,1,8,Male,Married,"College, CEGEP or other non-university certificate or di...",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10603,34.7,0,6,Male,Living common-law,High school diploma or a high school equivalency certificate,Good,"$50,000 to $74,999",50.1 hours and more
10604,59.5,0,6,Male,Married,Trade certificate or diploma,Very good,"$50,000 to $74,999",30.0 to 40.0 hours
10605,45.3,0,10,Male,"Single, never married",High school diploma or a high school equivalency certificate,Excellent,"$25,000 to $49,999",30.0 to 40.0 hours
10606,78.7,5,9,Male,Married,High school diploma or a high school equivalency certificate,Good,"$25,000 to $49,999",Valid skip
10607,35.8,1,8,Female,Married,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"Less than $25,000",Valid skip
10608,41.3,3,7,Female,"Single, never married","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Very good,"$50,000 to $74,999",30.0 to 40.0 hours
